,Tipo,Registros,Faltantes,Cobertura (%),Media,Mediana,Desv.Std,Varianza,Mínimo,P25,P75,Máximo,Valores únicos,Coeficiente Variación (%)
Precipitacion_mm,float64,528,0,100.0,6.066306818181818,5.845,3.708268083476269,13.75125217892876,0.0,3.085,8.372499999999999,18.32,437,61.13
Temp_Max_C,float64,528,0,100.0,22.99125,22.805,2.689784305665734,7.234939611005695,17.64,20.605,25.205,30.63,406,11.7
Temp_Min_C,float64,528,0,100.0,11.102651515151516,11.26,2.4749844796165985,6.125548174343046,4.13,9.184999999999999,13.1425,16.67,410,22.29
Temp_Media_C,float64,528,0,100.0,16.71526515151515,17.28,2.268462001810905,5.145919853659938,12.11,14.5075,18.7,21.44,363,13.57
Humedad_Relativa,float64,528,0,100.0,84.68187499999999,86.19999999999999,5.181824908362863,26.85130938092979,65.84,81.56,88.54,92.16,439,6.12
Velocidad_Viento,float64,528,0,100.0,1.092746212121212,1.03,0.26138849067934994,0.06832394305962862,0.48,0.9,1.26,1.88,116,23.92
Radiacion_Solar,float64,528,0,100.0,16.586723484848488,16.494999999999997,1.6963187240954651,2.877497213716867,11.97,15.4575,17.5025,22.33,358,10.23
Anio,int32,528,0,100.0,2020.0,2020.0,3.1652765016769564,10.018975332068312,2015.0,2017.0,2023.0,2025.0,11,0.16
Mes,int32,528,0,100.0,6.5,6.5,3.4553261694638038,11.939278937381404,1.0,3.75,9.25,12.0,12,53.16
ONI,float64,528,0,100.0,0.16636363636363635,-0.015,0.9388242254763189,0.8813909263412101,-1.36,-0.5525,0.665,2.77,111,564.32
VolumenUtilDiarioMasa,float64,336,192,63.64,437503454.9203588,432174766.3366481,93579100.66875789,8757048081973523.0,290141870.9677419,356941398.21428573,501304870.96774197,619585580.6451613,84,21.39
irca,float64,528,0,100.0,2.6,2.2,2.4117360113070663,5.816470588235317,0.0,0.4,3.6,9.5,29,92.76
POBLACION TOTAL,float64,528,0,100.0,61680.568181818184,37972.5,53355.79201809023,2846840541.8777013,18810.0,26834.75,73342.25,163306.0,16,86.5
DENSIDAD POBLACIONAL,float64,528,0,100.0,744.9050000000001,447.33000000000004,756.0347719255574,571588.5763605296,80.04,213.66,991.5175,2148.76,16,101.49
INDICE DE DESEMPENO INSTITUCIONAL,float64,48,480,9.09,71.825,69.19999999999999,10.526653102098262,110.81042553191496,60.2,66.65,74.375,88.7,4,14.66
ACCESO A AGUA POTABLE ADECUADO,float64,528,0,100.0,97.76886363636365,100.0,4.345364717909688,18.882194531654342,89.0,99.775,100.0,100.0,7,4.44
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,float64,528,0,100.0,93.17750000000001,99.0,14.773261983714683,218.24926963946947,25.38,90.72,99.0,100.0,10,15.85
COBERTURA DE ACUEDUCTO URBANO,float64,528,0,100.0,99.81818181818181,100.0,0.3860603686544951,0.14904260824564466,99.0,100.0,100.0,100.0,2,0.39
COBERTURA DE ACUEDUCTO RURAL,float64,528,0,100.0,95.31818181818181,100.0,7.705507709415291,59.374849059858484,82.0,94.75,100.0,100.0,3,8.08
COBERTURA DE ALCANTARILLADO URBANO,float64,528,0,100.0,87.68272727272726,84.31,9.050923702713854,81.91921987234747,60.54,83.96,98.02250000000001,100.0,9,10.32
COBERTURA DE ALCANTARILLADO RURAL,float64,528,0,100.0,45.10272727272728,55.88,26.897679734329603,723.4851750905655,1.0,29.02,63.3025,83.0,7,59.64
CONTINUIDAD DE ACUEDUCTO URBANO,float64,96,432,18.18,24.0,24.0,0.0,0.0,24.0,24.0,24.0,24.0,1,0.0
CALIDAD DEL AGUA,float64,96,432,18.18,27.616749999999996,27.0,20.615270961620954,424.9893968210522,0.0,16.9235,36.74,68.92,8,74.65
AGUAS RESIDUALES TRATADAS,float64,96,432,18.18,67.0,84.0,40.85197927305745,1668.8842105263159,0.0,51.75,99.25,100.0,4,60.97
Nivel_Minimo,float64,87,441,16.48,3.094248175515417,0.6722222222222222,18.770779998019577,352.3421817340519,0.195,0.36124999999999996,2.0157499999999997,176.0,83,606.63
CONDUCTIVIDAD ELECTRICA,float64,50,478,9.47,190.90869999999998,118.8,177.6416593267963,31556.559128377554,23.225,72.1725,269.375,723.25,50,93.05
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),float64,26,502,4.92,10.636538461538462,7.215,10.26489276799624,105.36802353846153,2.0,5.0,10.754999999999999,40.0,19,96.51
DEMANDA QUIMICA DE OXIGENO (DQO),float64,49,479,9.28,46.994897959183675,40.0,27.920202969239625,779.5377338435372,10.0,26.5,59.5,124.0,44,59.41
FOSFORO TOTAL,float64,49,479,9.28,0.5849591836734693,0.3,0.5816210181174563,0.3382830087159863,0.11199999999999999,0.1995,0.8975,2.175,45,99.43
NITROGENO TOTAL,float64,29,499,5.49,7.035344827586206,4.1875,6.5368912146254425,42.73094675184729,0.65,1.615,9.932500000000001,21.6225,29,92.92
OXIGENO DISUELTO (OD),float64,50,478,9.47,4.24355,4.6,2.1434079107670514,4.5941974719387755,0.9275,2.00625,6.2875,7.6499999999999995,46,50.51
SOLIDOS SUSPENDIDOS TOTALES,float64,50,478,9.47,47.82899999999999,34.875,46.372921692799665,2150.44786632653,7.0,17.625,56.5,258.0,45,96.96
TEMPERATURA,float64,50,478,9.47,16.269499999999997,16.875,2.245371032018667,5.0416910714285725,10.7,14.25,17.71875,20.125,44,13.8
TURBIDEZ,float64,34,494,6.44,31.44029411764706,22.75,29.898513542182748,893.9211120320851,4.02,9.774999999999999,42.75,120.0,30,95.1
pH,float64,50,478,9.47,6.964700000000001,6.88,0.49136073036714967,0.24143536734693874,5.52,6.7325,7.163125000000001,8.49,45,7.06
